dataset,class_name,calibration,bin_lower,bin_upper,count,mean_probability,observed_rate
chapman_test,sinus_tachycardia,raw,0.1,0.2,48,0.13937972320833333,0.125
chapman_test,sinus_tachycardia,raw,0.2,0.30000000000000004,20,0.22325190299999997,0.1
chapman_test,sinus_tachycardia,raw,0.30000000000000004,0.4,6,0.35564281333333336,0.5
chapman_test,sinus_tachycardia,raw,0.4,0.5,13,0.43867871923076923,0.46153846153846156
chapman_test,sinus_tachycardia,raw,0.5,0.6000000000000001,3,0.56031471,0.3333333333333333
chapman_test,sinus_tachycardia,raw,0.6000000000000001,0.7000000000000001,8,0.63671404375,0.25
chapman_test,sinus_tachycardia,raw,0.7000000000000001,0.8,23,0.75113774,0.8695652173913043
chapman_test,sinus_tachycardia,raw,0.8,0.9,31,0.8563310345161289,0.7741935483870968
chapman_test,sinus_tachycardia,raw,0.9,1.0,669,0.9914420726606877,0.976083707025411
chapman_test,sinus_tachycardia,temperature_scaled,0.0,0.1,3528,0.0057465254058142136,0.002834467120181406
chapman_test,sinus_tachycardia,temperature_scaled,0.1,0.2,44,0.14891038246163213,0.11363636363636363
chapman_test,sinus_tachycardia,temperature_scaled,0.2,0.30000000000000004,12,0.22359803035039896,0.16666666666666666
chapman_test,sinus_tachycardia,temperature_scaled,0.30000000000000004,0.4,7,0.3550508403174681,0.42857142857142855
chapman_test,sinus_tachycardia,temperature_scaled,0.4,0.5,12,0.4386080521280098,0.5
chapman_test,sinus_tachycardia,temperature_scaled,0.5,0.6000000000000001,3,0.5636121885409674,0.3333333333333333
chapman_test,sinus_tachycardia,temperature_scaled,0.6000000000000001,0.7000000000000001,8,0.6438224280403553,0.25
chapman_test,sinus_tachycardia,temperature_scaled,0.7000000000000001,0.8,21,0.7579900161490004,0.8571428571428571
chapman_test,sinus_tachycardia,temperature_scaled,0.8,0.9,31,0.8612918295527434,0.7741935483870968
chapman_test,sinus_tachycardia,temperature_scaled,0.9,1.0,671,0.9926178119583333,0.9761549925484352
ptbxl_external,sinus_tachycardia,raw,0.0,0.1,2046,0.0069457716131378295,0.001466275659824047
ptbxl_external,sinus_tachycardia,raw,0.1,0.2,16,0.14744222625,0.0
ptbxl_external,sinus_tachycardia,raw,0.2,0.30000000000000004,7,0.2435115085714286,0.0
ptbxl_external,sinus_tachycardia,raw,0.30000000000000004,0.4,3,0.34502576,0.0
ptbxl_external,sinus_tachycardia,raw,0.4,0.5,7,0.4507408942857144,0.0
ptbxl_external,sinus_tachycardia,raw,0.5,0.6000000000000001,7,0.5516569314285714,0.14285714285714285
ptbxl_external,sinus_tachycardia,raw,0.6000000000000001,0.7000000000000001,4,0.6642930725,0.25
ptbxl_external,sinus_tachycardia,raw,0.7000000000000001,0.8,4,0.7604866625,0.5
ptbxl_external,sinus_tachycardia,raw,0.8,0.9,10,0.855827133,0.1
ptbxl_external,sinus_tachycardia,raw,0.9,1.0,94,0.9916463612765958,0.7872340425531915
ptbxl_external,sinus_tachycardia,temperature_scaled,0.0,0.1,2049,0.005722399405632518,0.0014641288433382138
ptbxl_external,sinus_tachycardia,temperature_scaled,0.1,0.2,14,0.14821568613684777,0.0
ptbxl_external,sinus_tachycardia,temperature_scaled,0.2,0.30000000000000004,7,0.24699761792152256,0.0
ptbxl_external,sinus_tachycardia,temperature_scaled,0.30000000000000004,0.4,2,0.3563622308458443,0.0
ptbxl_external,sinus_tachycardia,temperature_scaled,0.4,0.5,7,0.4480633213568718,0.0
ptbxl_external,sinus_tachycardia,temperature_scaled,0.5,0.6000000000000001,6,0.5466824624417529,0.16666666666666666
ptbxl_external,sinus_tachycardia,temperature_scaled,0.6000000000000001,0.7000000000000001,5,0.6583364441949378,0.2
ptbxl_external,sinus_tachycardia,temperature_scaled,0.7000000000000001,0.8,2,0.7396275356127662,0.0
ptbxl_external,sinus_tachycardia,temperature_scaled,0.8,0.9,10,0.8467072713327036,0.3
ptbxl_external,sinus_tachycardia,temperature_scaled,0.9,1.0,96,0.991264137306044,0.7708333333333334
chapman_test,sinus_arrhythmia,raw,0.0,0.1,1543,0.013929599730439406,0.002592352559948153
chapman_test,sinus_arrhythmia,raw,0.1,0.2,140,0.15016773997142857,0.014285714285714285
chapman_test,sinus_arrhythmia,raw,0.2,0.30000000000000004,210,0.2532783004761905,0.0
chapman_test,sinus_arrhythmia,raw,0.30000000000000004,0.4,313,0.35048845255591055,0.009584664536741214
chapman_test,sinus_arrhythmia,raw,0.4,0.5,335,0.4533050385671642,0.008955223880597015
chapman_test,sinus_arrhythmia,raw,0.5,0.6000000000000001,378,0.5488351920899471,0.026455026455026454
chapman_test,sinus_arrhythmia,raw,0.6000000000000001,0.7000000000000001,384,0.6499594817187501,0.0703125
chapman_test,sinus_arrhythmia,raw,0.7000000000000001,0.8,406,0.7515576259113299,0.09852216748768473
chapman_test,sinus_arrhythmia,raw,0.8,0.9,366,0.8482387135245902,0.16120218579234974
chapman_test,sinus_arrhythmia,raw,0.9,1.0,262,0.9467978864122137,0.4083969465648855
chapman_test,sinus_arrhythmia,temperature_scaled,0.0,0.1,814,0.05402041479009349,0.0012285012285012285
chapman_test,sinus_arrhythmia,temperature_scaled,0.1,0.2,535,0.1430128973365002,0.003738317757009346
